ep.,num,start,end,キャラクター,字幕テキスト
1,45,"00:03:56,623","00:03:59,960",氷川いおな,
1,45,"00:03:56,623","00:03:59,960",氷川いおな,こしょこしょ こしょこしょ
1,45,"00:03:56,623","00:03:59,960",ぐらさん,アハハハハ…
1,46,"00:03:59,960","00:04:02,060",ぐらさん,ハーピション!
1,47,"00:04:05,782","00:04:10,582",ぐらさん,これで また
1,47,"00:04:05,782","00:04:10,582",ぐらさん,大いなる願いに近づいたぜ
1,48,"00:04:12,222","00:04:18,412",白雪ひめ,あの… フォーチュン
1,48,"00:04:12,222","00:04:18,412",白雪ひめ,助けてくれて ありがとう
1,49,"00:04:18,412","00:04:22,012",氷川いおな,かんちがいしないで!
1,49,"00:04:18,412","00:04:22,012",白雪ひめ,えっ!
1,50,"00:04:23,967","00:04:26,637",氷川いおな,わたしは あなたを
1,50,"00:04:23,967","00:04:26,637",氷川いおな,助けたんじゃない!
1,51,"00:04:26,637","00:04:30,490",氷川いおな,世界にサイアークがあふれたのは
1,51,"00:04:26,637","00:04:30,490",氷川いおな,あなたのせいよ!
1,52,"00:04:30,490","00:04:34,790",氷川いおな,わたしは あなたをゆるさない!
1,52,"00:04:30,490","00:04:34,790",氷川いおな,ぜったいによ!
1,53,"00:04:38,999","00:04:42,219",白雪ひめ,うう… うう…
1,54,"00:04:42,219","00:04:45,519",白雪ひめ,また負けたー!
1,55,"00:04:49,743","00:04:54,564",,キュアブラックだよ
1,55,"00:04:49,743","00:04:54,564",,プリキュア10周年 ありがとう!
1,56,"00:04:54,564","00:04:57,718",,これからも よろしくね!
1,56,"00:04:54,564","00:04:57,718",,エイ!
1,57,"00:04:57,718","00:05:00,718",,♪♪～主題歌
1,57,"00:04:57,718","00:05:00,718",,『ハピネスチャージプリキュア!WOW!』
1,58,"00:08:13,713","00:08:17,818",愛乃めぐみ,♪♪「強いぞ プリキュア
1,58,"00:08:13,713","00:08:17,818",愛乃めぐみ,無敵だ わっしょい!」
1,59,"00:08:17,818","00:08:22,389",愛乃めぐみ,♪♪「サイアークなんかにゃ
1,59,"00:08:17,818","00:08:22,389",愛乃めぐみ,負けないぞ!」
1,60,"00:08:22,389","00:08:24,724",愛乃めぐみ,イェーイ!
1,61,"00:08:24,724","00:08:29,145",大森ゆうこ,めぐみちゃんの心の歌
1,61,"00:08:24,724","00:08:29,145",大森ゆうこ,最近はプリキュアが多いね
1,62,"00:08:29,145","00:08:31,531",愛乃めぐみ,だって かっこいいんだもん!
1,63,"00:08:31,531","00:08:35,836",愛乃めぐみ,ゆうゆうも そう思うでしょう
1,63,"00:08:31,531","00:08:35,836",大森ゆうこ,うん! 思う!
1,64,"00:08:35,836","00:08:38,221",,おっはー!
1,64,"00:08:35,836","00:08:38,221",,(3人)おはよう!
1,65,"00:08:38,221","00:08:40,991",愛乃めぐみ,おはよう!
1,66,"00:08:40,991","00:08:44,611",愛乃めぐみ,この街もサイアークに
1,66,"00:08:40,991","00:08:44,611",愛乃めぐみ,侵略されているけど…
1,67,"00:08:44,611","00:08:46,530",愛乃めぐみ,でも だいじょうぶ!
1,68,"00:08:46,530","00:08:49,549",愛乃めぐみ,プリキュアが きっと
1,68,"00:08:46,530","00:08:49,549",愛乃めぐみ,ババーンとあらわれて
1,69,"00:08:49,549","00:08:53,854",愛乃めぐみ,ドカーンと解決してくれるよ!
1,69,"00:08:49,549","00:08:53,854",大森ゆうこ,そうだね
1,70,"00:08:53,854","00:08:57,454",愛乃めぐみ,だって プリキュアは
1,70,"00:08:53,854","00:08:57,454",愛乃めぐみ,無敵なんだから!
1,71,"00:09:05,465","00:09:07,117",白雪ひめ,やだ! やだー!
1,72,"00:09:07,117","00:09:09,653",白雪ひめ,どうせ わたしは
1,72,"00:09:07,117","00:09:09,653",白雪ひめ,役立たずですよー!
1,73,"00:09:09,653","00:09:11,905",白雪ひめ,一度もサイアークを
1,73,"00:09:09,653","00:09:11,905",白雪ひめ,たおしたことのない
1,74,"00:09:11,905","00:09:14,591",白雪ひめ,ダメ プリキュアですよー!
1,75,"00:09:14,591","00:09:17,294",白雪ひめ,もう がんばりたくても
1,76,"00:09:17,294","00:09:20,230",白雪ひめ,どう がんばればいいか
1,76,"00:09:17,294","00:09:20,230",白雪ひめ,分かんない!
1,77,"00:09:20,230","00:09:21,915",白雪ひめ,うぅ…
1,78,"00:09:21,915","00:09:25,035",ブルー,ひめ 自分をせめないで…
1,78,"00:09:21,915","00:09:25,035",白雪ひめ,うん?
1,79,"00:09:25,035","00:09:27,535",ブルー,君は よくがんばっているよ
1,80,"00:09:31,691","00:09:35,262",リボン,ブルーさま!
1,80,"00:09:31,691","00:09:35,262",リボン,あまやかしてはいけませんですわ
1,81,"00:09:35,262","00:09:39,516",リボン,ひめの場合 能力ではなく
1,81,"00:09:35,262","00:09:39,516",リボン,気持ちの問題ですことよ
1,82,"00:09:39,516","00:09:41,735",リボン,いくらプリキュアでも
1,82,"00:09:39,516","00:09:41,735",リボン,おそれていては
1,83,"00:09:41,735","00:09:44,087",リボン,何もできませんですわ!
1,84,"00:09:44,087","00:09:47,824",白雪ひめ,だって こわいんだもん…
1,85,"00:09:47,824","00:09:50,744",ブルー,ひめ…
1,85,"00:09:47,824","00:09:50,744",白雪ひめ,えっ…
1,86,"00:09:50,744","00:09:53,613",ブルー,これを君にあげよう
1,87,"00:09:53,613","00:09:57,267",ブルー,いっしょに戦ってくれる
1,87,"00:09:53,613","00:09:57,267",ブルー,仲間をさがすといい…
1,88,"00:09:57,267","00:09:59,486",リボン,さすがはブルーさまですわ!
1,89,"00:09:59,486","00:10:01,388",白雪ひめ,やだ!
1,90,"00:10:01,388","00:10:05,692",白雪ひめ,知らない人に声をかけるなんて
1,90,"00:10:01,388","00:10:05,692",白雪ひめ,こわい…
1,91,"00:10:05,692","00:10:09,946",ブルー,この愛の結晶は
1,91,"00:10:05,692","00:10:09,946",ブルー,きみをみちびいてくれるよ
1,92,"00:10:09,946","00:10:13,650",ブルー,きみの大切な友達のもとへ…
1,93,"00:10:13,650","00:10:19,050",白雪ひめ,友達…
1,93,"00:10:13,650","00:10:19,050",白雪ひめ,これで友達ができるの?
1,94,"00:10:21,408","00:10:24,377",白雪ひめ,わたし 友達ほしかったのよね～
1,95,"00:10:24,377","00:10:27,731",白雪ひめ,友達といっしょにいると
1,95,"00:10:24,377","00:10:27,731",白雪ひめ,とっても楽しいのよね!
1,96,"00:10:27,731","00:10:29,416",ブルー,ああ…
1,97,"00:10:29,416","00:10:33,570",白雪ひめ,こまった時に助けてくれたり
1,97,"00:10:29,416","00:10:33,570",白雪ひめ,何でも言うこと聞いてくれたり
1,98,"00:10:33,570","00:10:37,524",白雪ひめ,友達って とーっても
1,98,"00:10:33,570","00:10:37,524",白雪ひめ,便利なのよね～
1,99,"00:10:37,524","00:10:40,760",白雪ひめ,友達がいれば
1,99,"00:10:37,524","00:10:40,760",白雪ひめ,全部 解決じゃない!
1,100,"00:10:40,760","00:10:44,764",白雪ひめ,じゃあ 友達つかまえに
1,100,"00:10:40,760","00:10:44,764",白雪ひめ,いってきまーす!
1,101,"00:10:44,764","00:10:46,850",白雪ひめ,トォッ!
1,102,"00:10:46,850","00:10:48,650",リボン,あっ ひめ!
1,103,"00:10:51,488","00:10:53,356",愛乃めぐみ,ただいま!
1,104,"00:10:53,356","00:10:56,776",愛乃かおり,おかえりなさい
1,104,"00:10:53,356","00:10:56,776",愛乃めぐみ,今日のごはん な～に?
1,105,"00:10:56,776","00:11:00,330",愛乃かおり,ウフフ… また
1,105,"00:10:56,776","00:11:00,330",愛乃かおり,クリームシチューにしちゃおうかな～
1,106,"00:11:00,330","00:11:04,017",愛乃めぐみ,やったー!
1,106,"00:11:00,330","00:11:04,017",愛乃めぐみ,買い物なら わたしが行くよ
1,107,"00:11:04,017","00:11:07,771",愛乃かおり,でも帰ってきたばっかりで
1,107,"00:11:04,017","00:11:07,771",愛乃かおり,たいへんじゃ…
1,108,"00:11:07,771","00:11:11,057",愛乃めぐみ,ちょうど散歩に行こうかなぁ
1,108,"00:11:07,771","00:11:11,057",愛乃めぐみ,って思ってたし…
1,109,"00:11:11,057","00:11:14,794",愛乃めぐみ,お母さんは おうちで
1,109,"00:11:11,057","00:11:14,794",愛乃めぐみ,ゆっくりしてて ねっ!
1,110,"00:11:14,794","00:11:19,532",愛乃かおり,分かったわ おねがいね
1,110,"00:11:14,794","00:11:19,532",愛乃めぐみ,ドカンとまかせて!
1,111,"00:11:19,532","00:11:21,401",愛乃めぐみ,ケホッ…
1,112,"00:11:21,401","00:11:24,220",愛乃めぐみ,エヘヘヘ…
1,112,"00:11:21,401","00:11:24,220",愛乃かおり,ウフフフ…
1,113,"00:11:24,220","00:11:26,220",白雪ひめ,トォーーー!
1,114,"00:11:27,490","00:11:31,695",リボン,プリンセス お友達をさがしに
1,114,"00:11:27,490","00:11:31,695",リボン,行くんじゃありませんですの?
1,115,"00:11:31,695","00:11:34,147",白雪ひめ,こんなに たくさんの
1,115,"00:11:31,695","00:11:34,147",白雪ひめ,人がいる中から
1,116,"00:11:34,147","00:11:36,466",白雪ひめ,さがすの たいへんでしょう
1,117,"00:11:36,466","00:11:41,566",白雪ひめ,だから これが当たった子が
1,117,"00:11:36,466","00:11:41,566",白雪ひめ,友達よ!
1,118,"00:11:43,807","00:11:47,260",リボン,エーーッ!
1,118,"00:11:43,807","00:11:47,260",白雪ひめ,ニシシ…
1,119,"00:11:47,260","00:11:49,662",白雪ひめ,さぁ どんな子かな～
1,120,"00:11:49,662","00:11:53,733",愛乃めぐみ,♪♪「今日のごはんは
1,120,"00:11:49,662","00:11:53,733",愛乃めぐみ,クリームシチュー」
1,121,"00:11:53,733","00:11:58,738",愛乃めぐみ,♪♪「お母さん 大好き
1,121,"00:11:53,733","00:11:58,738",愛乃めぐみ,クリームシチュー…」 うっ!?
1,122,"00:11:58,738","00:12:01,038",愛乃めぐみ,うっ… 何だ?
1,123,"00:12:06,346","00:12:10,900",愛乃めぐみ,おー! きれい!
1,124,"00:12:10,900","00:12:14,070",愛乃めぐみ,♪♪「おまわりさんに落とし物」
1,125,"00:12:14,070","00:12:17,870",リボン,あの子に愛の結晶
1,125,"00:12:14,070","00:12:17,870",リボン,当たりましたですわ
1,126,"00:12:19,692","00:12:22,692",白雪ひめ,あの子が…
1,126,"00:12:19,692","00:12:22,692",白雪ひめ,わたしの はじめての友達!
1,127,"00:14:02,612","00:14:06,833",愛乃めぐみ,おー! 大っきいニンジン!
1,127,"00:14:02,612","00:14:06,833",愛乃めぐみ,おいくら万円?
1,128,"00:14:06,833","00:14:11,054",,大安売りで200万円!
1,128,"00:14:06,833","00:14:11,054",愛乃めぐみ,はい 200万円!
1,129,"00:14:11,054","00:14:13,423",,ジャガイモはおまけだ
1,129,"00:14:11,054","00:14:13,423",愛乃めぐみ,持っていきな
1,130,"00:14:13,423","00:14:16,860",愛乃めぐみ,おー! ありがとう!
1,131,"00:14:16,860","00:14:21,614",愛乃めぐみ,ゆうゆう! ゆうゆう!
1,131,"00:14:16,860","00:14:21,614",大森ゆうこ,はい 大森ごはんにようこそ!
1,132,"00:14:21,614","00:14:26,236",愛乃めぐみ,アメちょうだい! アメ
1,132,"00:14:21,614","00:14:26,236",愛乃めぐみ,スペシャルサービスで
1,132,"00:14:21,614","00:14:26,236",大森ゆうこ,はい!
1,133,"00:14:26,236","00:14:28,838",愛乃めぐみ,あ～ん!
1,134,"00:14:28,838","00:14:30,740",愛乃めぐみ,あま～!
1,135,"00:14:30,740","00:14:34,777",リボン,ダレとでも気さくに
1,135,"00:14:30,740","00:14:34,777",リボン,お話できる子みたいですわ
1,136,"00:14:34,777","00:14:38,882",白雪ひめ,いいなぁ…
1,136,"00:14:34,777","00:14:38,882",相楽真央,≪あー!≫
1,137,"00:14:38,882","00:14:41,782",愛乃めぐみ,真央ちゃん!
1,137,"00:14:38,882","00:14:41,782",相楽真央,あっ めぐみちゃん!
1,138,"00:14:43,486","00:14:46,623",愛乃めぐみ,ドーンとまかせて!
1,139,"00:14:46,623","00:14:50,623",相楽真央,めぐみちゃん 気をつけてね
1,139,"00:14:46,623","00:14:50,623",愛乃めぐみ,平気 平気
1,140,"00:14:51,644","00:14:55,882",相楽誠司,おい 何やってんだ!
1,140,"00:14:51,644","00:14:55,882",相楽誠司,あぶないだろ!
1,140,"00:14:51,644","00:14:55,882",相楽真央,お兄ちゃん!
1,141,"00:14:55,882","00:14:57,600",相楽誠司,早く もどってこいよ
1,142,"00:14:57,600","00:15:00,253",愛乃めぐみ,だいじょうぶ もうちょっとで
1,142,"00:14:57,600","00:15:00,253",愛乃めぐみ,拾えるから…
1,143,"00:15:00,253","00:15:02,672",愛乃めぐみ,あっ… あっ…
1,144,"00:15:02,672","00:15:04,507",愛乃めぐみ,うあ～!
1,145,"00:15:04,507","00:15:06,092",愛乃めぐみ,おっ?
1,146,"00:15:06,092","00:15:10,096",愛乃めぐみ,ありがとう 誠司
1,146,"00:15:06,092","00:15:10,096",相楽誠司,どういたしまして…
1,147,"00:15:10,096","00:15:14,584",白雪ひめ,マジかよ!
1,147,"00:15:10,096","00:15:14,584",白雪ひめ,あの子 男子としゃべってるよ
1,148,"00:15:14,584","00:15:16,986",愛乃めぐみ,ごめんね わたしのせいで…
1,149,"00:15:16,986","00:15:19,956",相楽誠司,それより こいつの帽子を
1,149,"00:15:16,986","00:15:19,956",相楽誠司,ありがとな
1,150,"00:15:19,956","00:15:23,459",相楽誠司,おまえ あぶないから
1,150,"00:15:19,956","00:15:23,459",相楽誠司,川に近づくなって言ってるだろ
1,151,"00:15:23,459","00:15:26,596",相楽真央,だって～
1,151,"00:15:23,459","00:15:26,596",愛乃めぐみ,その帽子…
1,152,"00:15:26,596","00:15:30,767",愛乃めぐみ,形とかリボンとか
1,152,"00:15:26,596","00:15:30,767",愛乃めぐみ,すごく かわいいね
1,153,"00:15:30,767","00:15:34,053",相楽真央,お母さんが お誕生日に
1,153,"00:15:30,767","00:15:34,053",相楽真央,買ってくれたの!
1,154,"00:15:34,053","00:15:36,039",愛乃めぐみ,さすが お母さん!
1,155,"00:15:36,039","00:15:39,993",愛乃めぐみ,真央ちゃんのかわいさ
1,155,"00:15:36,039","00:15:39,993",愛乃めぐみ,200%アップだよ!
1,156,"00:15:39,993","00:15:44,864",相楽真央,ヘヘ… めぐみちゃん ありがとう
1,157,"00:15:44,864","00:15:47,150",相楽真央,お兄ちゃん 行っていい?
1,158,"00:15:47,150","00:15:50,069",相楽誠司,おう 気をつけろよ
1,158,"00:15:47,150","00:15:50,069",相楽真央,分かったー!
1,159,"00:15:50,069","00:15:55,942",リボン,あの子のまわりは
1,159,"00:15:50,069","00:15:55,942",リボン,幸せのオーラでいっぱいですわ
1,160,"00:15:55,942","00:16:00,847",相楽誠司,おまえ 人助けもいいけど
1,160,"00:15:55,942","00:16:00,847",相楽誠司,自分のことを少しは考えろよな
1,161,"00:16:00,847","00:16:02,899",相楽誠司,ドジなんだから
1,162,"00:16:02,899","00:16:07,036",愛乃めぐみ,でも真央ちゃんは よろこんでたし
1,162,"00:16:02,899","00:16:07,036",愛乃めぐみ,誠司も ゆうゆうも助けてくれて
1,163,"00:16:07,036","00:16:11,841",愛乃めぐみ,わたしも うれしいし みんな幸せ
1,163,"00:16:07,036","00:16:11,841",愛乃めぐみ,幸せハピネス!
1,164,"00:16:11,841","00:16:16,963",愛乃めぐみ,これって愛だね
1,164,"00:16:11,841","00:16:16,963",大森ゆうこ,幸せ増量 大盛りね
1,165,"00:16:16,963","00:16:21,063","大森ゆうこ,愛乃めぐみ",(ゆうこ・めぐみ)アハハハハ…
1,166,"00:16:23,653","00:16:26,572",リボン,ひめ 早く 声をかけるですわ
1,167,"00:16:26,572","00:16:30,310",リボン,あとをつけているだけでは
1,167,"00:16:26,572","00:16:30,310",リボン,友達になれないですわよ
1,168,"00:16:30,310","00:16:31,995",白雪ひめ,分かってるわよ
1,169,"00:16:31,995","00:16:36,616",白雪ひめ,今 心の準備をしているところなの
1,169,"00:16:31,995","00:16:36,616",リボン,準備などいりませんわ
1,170,"00:16:36,616","00:16:39,652",リボン,アタックあるのみですわ!
1,171,"00:16:39,652","00:16:42,155",白雪ひめ,うっ…!
1,171,"00:16:39,652","00:16:42,155",愛乃めぐみ,うん?
1,172,"00:16:42,155","00:16:45,291",白雪ひめ,うっ… あっ! あの…
1,173,"00:16:45,291","00:16:47,510",白雪ひめ,そそそ…
1,174,"00:16:47,510","00:16:50,910",白雪ひめ,そそ… その～…
1,175,"00:16:52,448","00:16:56,185",愛乃めぐみ,かわいい!
1,175,"00:16:52,448","00:16:56,185",白雪ひめ,えっ?
1,176,"00:16:56,185","00:17:00,139",愛乃めぐみ,お人形さんが着るみたいな服が
1,176,"00:16:56,185","00:17:00,139",愛乃めぐみ,こんなに にあう人
1,177,"00:17:00,139","00:17:02,241",愛乃めぐみ,はじめて見たよ!
1,178,"00:17:02,241","00:17:04,841",愛乃めぐみ,あなた すごくかわいいね
1,179,"00:17:06,479","00:17:09,415",白雪ひめ,そんなこと… あるけど!
1,180,"00:17:09,415","00:17:12,618",白雪ひめ,わたし オシャレには
1,180,"00:17:09,415","00:17:12,618",白雪ひめ,ちょっと うるさいの
1,181,"00:17:12,618","00:17:16,522",白雪ひめ,今日のコーディネートの
1,181,"00:17:12,618","00:17:16,522",白雪ひめ,ポイントは このリボンよ!
1,182,"00:17:16,522","00:17:21,144",愛乃めぐみ,おー かわいい!
1,182,"00:17:16,522","00:17:21,144",白雪ひめ,あなたはオシャレしないの?
1,183,"00:17:21,144","00:17:25,398",愛乃めぐみ,いや～ ついつい動きやすさを
1,183,"00:17:21,144","00:17:25,398",愛乃めぐみ,優先しちゃって…
1,184,"00:17:25,398","00:17:28,401",愛乃めぐみ,それにオシャレしても
1,184,"00:17:25,398","00:17:28,401",愛乃めぐみ,にあわないと思うし…
1,185,"00:17:28,401","00:17:31,371",白雪ひめ,やってみなくちゃ
1,185,"00:17:28,401","00:17:31,371",白雪ひめ,分からないじゃない!
1,185,"00:17:28,401","00:17:31,371",愛乃めぐみ,えっ?
1,186,"00:17:31,371","00:17:34,607",白雪ひめ,あなた かわいい服が
1,186,"00:17:31,371","00:17:34,607",白雪ひめ,にあわないと決めつけてるけど
1,187,"00:17:34,607","00:17:37,293",白雪ひめ,そんなの着てみなきゃ
1,187,"00:17:34,607","00:17:37,293",白雪ひめ,分かんないじゃない
1,188,"00:17:37,293","00:17:42,315",白雪ひめ,着れば にあうかもしれないし
1,188,"00:17:37,293","00:17:42,315",白雪ひめ,にあう服に出会ってないだけかも
1,189,"00:17:42,315","00:17:45,585",白雪ひめ,オシャレは出会いと ひらめきと
1,189,"00:17:42,315","00:17:45,585",白雪ひめ,チャレンジよ!
1,190,"00:17:45,585","00:17:47,854",愛乃めぐみ,わたしにも できるかな?
1,191,"00:17:47,854","00:17:51,474",白雪ひめ,やるのよ やって自分をみがくの!
1,192,"00:17:51,474","00:17:56,028",白雪ひめ,女の子はダレでも
1,192,"00:17:51,474","00:17:56,028",白雪ひめ,キラキラ光る宝石なんだから!
1,193,"00:17:56,028","00:17:59,182",愛乃めぐみ,おー! 師匠!
1,193,"00:17:56,028","00:17:59,182",白雪ひめ,えっ?
1,194,"00:17:59,182","00:18:04,337",愛乃めぐみ,わたし 感動した!
1,194,"00:17:59,182","00:18:04,337",愛乃めぐみ,そうだよね さがしてみれば
1,195,"00:18:04,337","00:18:08,257",愛乃めぐみ,わたしに にあう かわいい服が
1,195,"00:18:04,337","00:18:08,257",愛乃めぐみ,あるかもしれないよね
1,196,"00:18:08,257","00:18:11,260",愛乃めぐみ,おねがいします わたしに
1,196,"00:18:08,257","00:18:11,260",愛乃めぐみ,オシャレのしかた
1,197,"00:18:11,260","00:18:14,647",愛乃めぐみ,教えてください 師匠!
1,198,"00:18:14,647","00:18:19,552",白雪ひめ,べつにいいけど…
1,198,"00:18:14,647","00:18:19,552",愛乃めぐみ,やったー! ありがとう!
1,199,"00:18:19,552","00:18:23,523",愛乃めぐみ,わたし めぐみ! 愛乃めぐみ
1,200,"00:18:23,523","00:18:29,023",愛乃めぐみ,オレ! オマエ!
1,200,"00:18:23,523","00:18:29,023",愛乃めぐみ,会えて うれしい!
1,201,"00:18:30,630","00:18:36,803",白雪ひめ,わたしは ヒメルダ・ウインドウ・
1,201,"00:18:30,630","00:18:36,803",白雪ひめ,キュアクイーン・オブ・ザ・ブルースカイよ
1,202,"00:18:36,803","00:18:41,607",愛乃めぐみ,えっ? ヒメルダ… ウインドウ…
1,202,"00:18:36,803","00:18:41,607",愛乃めぐみ,えっと…
1,203,"00:18:41,607","00:18:45,912",白雪ひめ,長いから「ひめ」でいいよ
1,203,"00:18:41,607","00:18:45,912",愛乃めぐみ,じゃあ ひめ!
1,204,"00:18:45,912","00:18:49,732",リボン,フゥ なんとかなって
1,204,"00:18:45,912","00:18:49,732",リボン,よかったですわ
1,205,"00:18:49,732","00:18:53,169",愛乃めぐみ,ヌォッ? 何じゃ?
1,205,"00:18:49,732","00:18:53,169",リボン,わたしはリボン
1,206,"00:18:53,169","00:18:56,389",リボン,ひめのお世話をしている
1,206,"00:18:53,169","00:18:56,389",リボン,妖精ですわ
1,207,"00:18:56,389","00:18:59,308",愛乃めぐみ,妖精? お世話?
1,208,"00:18:59,308","00:19:02,929",リボン,これでも ひめは
1,208,"00:18:59,308","00:19:02,929",リボン,ブルースカイ王国の王女
1,209,"00:19:02,929","00:19:04,664",白雪ひめ,「これでも」はよけいよ
1,210,"00:19:04,664","00:19:08,551",リボン,ヒメルダなんちゃら…
1,210,"00:19:04,664","00:19:08,551",リボン,略して「ひめ」は
1,211,"00:19:08,551","00:19:11,120",リボン,正統なる王位継承者
1,212,"00:19:11,120","00:19:15,208",リボン,すわなち次期女王で
1,212,"00:19:11,120","00:19:15,208",リボン,あらせられられ… られますわ!
1,213,"00:19:15,208","00:19:18,778",愛乃めぐみ,なんと! 本物の王女さま!
1,214,"00:19:18,778","00:19:22,148",愛乃めぐみ,はじめて見たよ
1,214,"00:19:18,778","00:19:22,148",愛乃めぐみ,ステキすぎる～
1,215,"00:19:22,148","00:19:24,967",白雪ひめ,そんなこと あるけど!
1,216,"00:19:24,967","00:19:29,689",リボン,いろいろ いたらない ひめですが
1,216,"00:19:24,967","00:19:29,689",リボン,どうぞ よろしくお願いですわ
1,217,"00:19:29,689","00:19:33,075",愛乃めぐみ,こちらこそ!
